,0,1
0,Sun,107.59177136042844
1,Moon,106.19880014930551
2,Mercury,108.50071801539552
3,Venus,150.12808144546645
4,Mars,97.4716506084625
5,Jupiter,241.60675170624828
6,Saturn,207.78799403474636
7,Uranus,245.5631057882798
8,Neptune,267.31349084037635
9,Pluto,206.71294580634478
10,mean Node,83.7733466757316
11,Chiron,61.13966386986526
12,Ceres,327.1196245324372
13,Pallas,284.91398437887824
14,Juno,21.081753539241085
15,Vesta,61.801724942791225
16,Pholus,20.026934162588102
0,10005,177.25853859967864
1,10006,259.8037755155096
2,10007,257.1968007528298
3,10008,215.54061784038228
4,10009,104.80693441182775
5,10010,204.19863461396707
6,10011,122.28375099113732
7,10012,90.15380378739238
8,10013,78.02836339566785
9,10014,112.7427443262036
10,10015,182.70757672868854
11,10016,220.38341174332746
12,10017,113.5261437562234
13,10018,167.6808210153
14,10019,109.96474261747083
0,house1,109.63643758494268
1,house2,129.48021330934392
2,house3,152.49876438268993
3,house4,181.59999768876477
4,house5,217.8933119725943
5,house6,256.3454737817553
6,house7,289.63643758494266
7,house8,309.4802133093439
8,house9,332.49876438268996
9,house10,1.5999976887647607
10,house11,37.893311972594276
11,house12,76.3454737817553
