,0,1
0,Sun,65.18643322438143
1,Moon,78.01187451329916
2,Mercury,61.59390016510729
3,Venus,40.94625401215017
4,Mars,38.129396275669556
5,Jupiter,124.41383384408867
6,Saturn,157.33990262446852
7,Uranus,228.2927049015479
8,Neptune,259.5104506583229
9,Pluto,196.68019737303243
10,mean Node,163.4905195522881
11,Chiron,41.04866914363447
12,Ceres,4.787238209498528
13,Pallas,331.71571680632314
14,Juno,37.424634396960066
15,Vesta,18.549468033587548
16,Pholus,357.1929247670896
0,10005,180.01746490918114
1,10006,240.5987043381372
2,10007,235.1849617177381
3,10008,141.62243067455037
4,10009,54.39322235471411
5,10010,353.3763446443371
6,10011,94.82028565061051
7,10012,43.92848433555941
8,10013,66.5626628217813
9,10014,103.65083931996101
10,10015,197.79369330802166
11,10016,316.0156137970845
12,10017,89.47952444807824
13,10018,118.4560214477617
14,10019,72.63129546927142
0,house1,259.8817782015968
1,house2,295.3344794445868
2,house3,335.28108993275373
3,house4,10.662904072535298
4,house5,38.10257013233911
5,house6,60.07742475712769
6,house7,79.88177820159677
7,house8,115.3344794445868
8,house9,155.28108993275373
9,house10,190.66290407253533
10,house11,218.10257013233914
11,house12,240.07742475712772
